"CFCIF#","CP6MIC","CP6MCD","CF6MI7","CF6MI6","CF6MR7","CF6MR6","CFVUSR","CFVDT6","CFVDT7","CFVTME"
I024031,"12",S1,2002037,60202,2003037,60203,BTN8130044,60202,2002037,75523
D035945,"12",SU,2002037,60202,2003037,60203,BTN8130044,60202,2002037,90513
M064441,"20",G3,2002037,60202,2003037,60203,BTN8130044,60202,2002037,93014
E032202,"12",SU,2002037,60202,2003037,60203,BTN8130044,60202,2002037,105310
M068387,"12",SU,2002037,60202,2003037,60203,BTN8130044,60202,2002037,133153
K017299,"12",SU,2002037,60202,2003037,60203,BTN8130044,60202,2002037,140038
R041686,"20",G2,2002038,70202,2003038,70203,BTN8130044,70202,2002038,90554
B020270,"20",G3,2002038,70202,2003038,70203,BTN8130044,70202,2002038,102549
B021685,"20",G4,2002038,70202,2003038,70203,BTN8130044,70202,2002038,111229
S131104,"12",S1,2002038,70202,2003038,70203,BTN0004778,70202,2002038,114827
S131103,"12",S2,2002038,70202,2003038,70203,BTN0004778,70202,2002038,125340
A075407,"20",G3,2002038,70202,2003038,70203,BTN8130044,70202,2002038,140040
E032417,"12",S1,2002038,70202,2003038,70203,BTN7500894,70202,2002038,153801
E031729,"12",S1,2002038,70202,2003038,70203,BTN7500894,70202,2002038,160351
E031793,"12",SU,2002038,70202,2003038,70203,BTN0005137,70202,2002038,162547
E031723,"12",SU,2002038,70202,2003038,70203,BTN7500894,70202,2002038,164252
E031703,"12",S1,2002038,70202,2003038,70203,BTN7500894,70202,2002038,165806
E032453,"12",SU,2002038,70202,2003038,70203,BTN0005137,70202,2002038,170601
N030684,"20",G4,2002038,70202,2003038,70203,BTN8130044,70202,2002038,172017
A069185,"12",SD,2002038,70202,2003038,70203,BTN8130044,70202,2002038,174732
A075412,"20",G3,2002039,80202,2003039,80203,BTN8130044,80202,2002039,80329
A071381,"12",S1,2002039,80202,2003039,80203,BTN0004778,80202,2002039,83752
A071110,"12",SU,2002039,80202,2003039,80203,BTN0004778,80202,2002039,91623
E032317,"12",SU,2002039,80202,2003039,80203,BTN0004778,80202,2002039,110812
F012576,"12",D1,2002039,80202,2003039,80203,BTN7500894,80202,2002039,163243
A069177,"12",SU,2002039,80202,2003039,80203,BTN8130044,80202,2002039,164749
P017169,"20",G2,2002039,80202,2003039,80203,BTN8130044,80202,2002039,165512
N030477,"12",S1,2002042,110202,2003042,110203,BTN8130044,110202,2002042,75636
T032480,"20",G4,2002042,110202,2003042,110203,BTN8130044,110202,2002042,85823
K017599,"12",SU,2002042,110202,2003042,110203,BTN8130044,110202,2002042,95815
S138339,"12",D1,2002042,110202,2003042,110203,BTN8130044,110202,2002042,113359
S129692,"12",SU,2002042,110202,2003042,110203,BTN8130044,110202,2002042,134830
G006040,"12",SD,2002042,110202,2003042,110203,BTN0002190,110202,2002042,152108
S129813,"12",S1,2002042,110202,2003042,110203,BTN8130044,110202,2002042,162330
H033019,"12",SU,2002043,120202,2003043,120203,BTN0005137,120202,2002043,84035
